"Submission ID","Respondent ID","Submitted at","Cheney Field and the Martin St field are owned by APS and are therefore publicly owned land. If given the choice, what is your vision for these lots?","What would you like to see?","Any Additional Comments?","Something Else - Supports Track","Duplicate"
"NqExVab","Xx7kK1e","2026-09-11 03:48:01","Something else (write in)","I'm not against the idea of the indoor track, I am against a surface parking lot of any sort. If the indoor track is built, I would love to see free or low cost memberships for people in Summerhill and nearby neighborhoods, and for the fencing to come down around Cheney and the APS lot on Martin.","","No","No"
"aOk1Gby","gDPq0MO","2026-09-11 03:54:12","Green space","","","","No"
"2jVYYYA","81DLMjA","2026-09-11 05:43:38","ATC Indoor Track Proposal","","Ultimately, this facility will be an attractive force for our neighborhood. Conversely, as removing the Olympic cauldron, would create a deficit. Summerhill has not reached its potential. We are not Virginia Highland. However, we can be better. There needs to be productive, positive infrastructure and applications to our neighborhood to support the Main Street businesses and to convert our asphalt voids into useful spaces. Let’s use this opportunity to create new future Atlanta institutions. Yes, it is a sacrifice to remove green space but the vision of the track club is not malevolent. I’m not a runner. What I’ve seen from this organization is a constant interest in making Atlanta a better place to live through organization of physical activity. A healthy lifestyle. I embrace that vision as long as it incorporates some accessibility to all of our neighbors. There should be measured access to these facilities as close to free as possible. It should not be a gated community where it only benefits a few. There are compromises that can be made by all sides to implement this attractive and productive community resource. ","","No"
"BE6ooO5","Pde6R95","2026-09-11 09:08:39","Something else (write in)","Anything that includes keeping the soccer fields and not destroying them to make more parking lots
","","No","No"
"2jV9j8p","XxkW6b4","2026-09-11 09:56:59","Green space","","","","No"
"aOkpAaW","A7RBYkW","2026-09-11 11:11:38","Green space","","","","No"
"rDg8bdl","rj9oXKX","2026-09-11 11:44:39","Green space","","We’re already seeing rising temperatures due to climate change. Losing tree canopy and wildlife is the last thing I want for our neighborhood. This land should be protected and invested in as green space, not developed. ","","No"
"LDV4xeG","9q07bkY","2026-09-11 11:56:52","ATC Indoor Track Proposal","","","","Yes"
"GekOO6O","9q07bkY","2026-09-11 11:57:38","ATC Indoor Track Proposal","","","","No"
"VpqWgOl","440ralA","2026-09-11 12:19:10","Green space","","If an indoor track id want to see a robust proposal on traffic management, parking, and how the team plans to direct proceeds back into the neighborhood ","","No"
"o9g8WqN","b5RdZpZ","2026-09-11 12:19:25","ATC Indoor Track Proposal","","","","No"
"PR4ZVb1","440rQkr","2026-09-11 12:21:19","Something else (write in)","An open public park for the general public to use.","Suggest Pickleball courts, outdoor gym, benches, water feature, something the general public can use, not just runners","No","No"
"5XraWDo","XxA0LRY","2026-09-11 12:21:57","Green space","","","","No"
"bZg1bMo","LZxp9vv","2026-09-11 12:22:11","Green space","","A sports venue with 3,000 seating capacity, parking, offices, commercial retail and services spaces does not belong in a residential neighborhood comprised of narrow one-way streets. During large events with teams of athletes, coaches, trainers, etc., traffic congestion will certainly be a nightmare. When the Braves played home games at Turner Field, the neighborhood was filled with cars parked on residential streets, despite signs prohibiting residential parking for non-residents and designated parking offered closer to the stadium. It's naive to believe that Atlanta Track Club event attendees will behave any differently. ","","No"
"9NxAzWQ","lb2rBkX","2026-09-11 12:23:51","ATC Indoor Track Proposal","","It’s likely APS will sell the land regardless if it ends up being ATC or someone else. ATC proposal is a heck of a lot better than alternatives like a Target or Costco. This could help local businesses on Georgia Ave, which we’ve seen 3 close just recently. The green space is not maintained well right now with overgrown trees so someone buying the land would actually improve the maintenance of the area in my opinion","","No"
"J1GEak4","WObzrgj","2026-09-11 12:27:43","ATC Indoor Track Proposal","","","","No"
"5Xra6MM","ODqGlKK","2026-09-11 12:28:07","ATC Indoor Track Proposal","","","","No"
"lagkbjW","7R0xKWR","2026-09-11 12:34:59","ATC Indoor Track Proposal","","","","No"
"rDgMjMM","NpNoXVl","2026-09-11 12:35:12","Something else (write in)","I don't mind the indoor track building but I think the parking lot and closure of Ami street is going to be incredibly disruptive. I would prefer if the parking for the building were connected to it somehow (underground, etc). ","In general, I would love for the giant fences to be taken down so the area could be more visually appealing.","No","No"
"X59P5XO","440rKXb","2026-09-11 12:38:52","ATC Indoor Track Proposal","","I like the idea of a track. Q: can the design include outdoor green space? Will the facility be available for the community's use? I want to insure that our neighbors can access it justa as with the outdoor track","","No"
"jegAZz6","ZjyVgYo","2026-09-11 12:40:57","Green space","","","","No"
